Delta_Abs_mean,Delta_Abs_std,Delta_Abs_median,Theta_Abs_mean,Theta_Abs_std,Theta_Abs_median,Alpha_Abs_mean,Alpha_Abs_std,Alpha_Abs_median,Beta_Abs_mean,Beta_Abs_std,Beta_Abs_median,Gamma_Abs_mean,Gamma_Abs_std,Gamma_Abs_median,Delta_Rel,Theta_Rel,Alpha_Rel,Beta_Rel,Gamma_Rel,AlphaPeakFreq_mean,AlphaPeakFreq_std,AlphaPeakAmp_mean,AlphaPeakAmp_std,AlphaTheta_ratio,Index2,BrainbeatIndex,User,Task
2.372472032144866e-08,1.376881451956694e-07,5.681853761595173e-12,5.084494171208448e-09,3.035854598735792e-08,2.491218686381309e-12,1.8066777175448053e-09,1.3386433704876012e-08,2.1016041290582852e-12,5.878750553500094e-10,4.674282522411224e-09,1.493530981347146e-12,2.148523924024548e-10,1.7289981797507687e-09,1.3032448142448607e-12,0.7551165703211188,0.1618306032003924,0.0575034083969643,0.018711040195989594,0.006838377838728612,10.7421875,1.018735515335949,2.325645310280754e-09,1.652690879738692e-08,0.3553308659989791,2.1233585768665826,2.8142784502702596,4,1
7.18956674772864e-08,5.884070293841603e-07,6.723468204382756e-12,4.863582281844474e-09,3.97701230755224e-08,3.837471943768211e-12,1.0217898930896833e-09,8.314340978304548e-09,5.1506185840833944e-12,1.2922895791043268e-10,1.0353690879614868e-09,1.984216354891776e-12,1.7332879318439896e-11,1.2326279553600987e-10,1.8715656885298586e-12,0.9225956670264456,0.06241154852444893,0.013112040837144722,0.0016583207417912148,0.00022242285129819495,10.569852941176471,0.5280553857666083,1.5662441528450334e-09,1.2761275136321674e-08,0.21008997762719497,4.225458402705235,4.759865318434689,6,4
4.8052122691875085e-08,3.8712358301402476e-07,7.712832854875918e-12,8.900078567951037e-09,6.990040453246914e-08,4.283724194853913e-12,2.2150756557721424e-09,1.5808872371009297e-08,3.87755419838114e-12,5.793898014344484e-10,3.531052782153082e-09,3.004541377450868e-12,2.015138611331582e-10,1.1681972393805504e-09,2.9918340554086793e-12,0.8015609852919825,0.1484628637916372,0.036949839584031884,0.009664843800635025,0.0033614675071825216,10.383157169117647,0.7086643951904484,3.2368883634036477e-09,2.3999383561737876e-08,0.24888270800019355,3.1848948214103467,4.0179569211778645,8,1
4.516716633889307e-08,2.8818513014253633e-07,1.944170629653955e-11,1.2156575791164477e-08,7.364368909158932e-08,1.1614353364401719e-11,3.919114022651834e-09,2.6665190148355417e-08,1.1970299298862853e-11,7.774344066990506e-08,5.893179064816368e-07,2.8594666340609406e-10,1.7396284272116564e-07,1.3284705756416276e-06,6.256395436115317e-10,0.14432749808651302,0.038845212384444675,0.012523165995428954,0.24842196653064708,0.555882156998267,9.406594669117647,0.9459887152673744,4.613802910925986e-09,3.112716978165335e-08,0.3223863437783351,0.148863525476427,3.1018683601293295,12,1
3.8171717048420776e-09,2.690483278892951e-08,7.634574815950438e-12,2.6872777489871977e-10,1.5709537479291205e-09,4.24693830239356e-12,8.193534795769768e-11,3.879468302463667e-10,3.648528684680865e-12,2.1591604010197025e-11,8.792503081938557e-11,3.2221049948606604e-12,6.925085973639034e-12,2.2641326576797676e-11,3.242405122256273e-12,0.9096405978907641,0.06403843283199627,0.019525377600930163,0.005145327771434061,0.001650263554430955,11.000689338235293,1.1311677773159015,1.1685240529408972e-10,5.708062407473125e-10,0.3049009263750069,2.5957276436073364,3.2797538153410124,10,4
1.445934025188964e-08,1.132938094134232e-07,6.264928472570789e-12,1.6909439027075244e-09,9.812716705850072e-09,2.2298116494734425e-12,1.5514373222763423e-09,1.1599950454411918e-08,1.7595428666550704e-12,1.1812211919257822e-08,9.649073169232062e-08,1.2532578980453565e-12,1.3990734229868245e-08,1.1442789506279196e-07,1.1644631995506102e-12,0.33236296334234217,0.03886810300878639,0.035661399267804504,0.27151596744527795,0.3215915669019863,9.004480698529411,0.5764198138898633,2.19409998610851e-09,1.6407502031340726e-08,0.917497806073243,0.12653309526158468,1.0899208603694455,4,2
4.2998086450389375e-08,3.4320242693742165e-07,6.687848856814316e-12,3.847780564271805e-09,2.907093835073891e-08,3.3007744037295385e-12,8.389415293259536e-10,5.705957802334767e-09,1.9621157660866132e-12,1.106475424997439e-10,6.024606326560538e-10,1.2439981910122857e-12,3.711382489853778e-11,2.182454504050695e-10,1.0457488809478965e-12,0.8989290462278244,0.08044268939097153,0.017539127227627186,0.002313225960915913,0.0007759111619165306,8.817784926470589,0.23510319312593203,1.4437806276865537e-09,1.0401333202783038e-08,0.21803258137826984,4.052048062131862,4.586470478602353,12,3
1.5566952170435356e-07,7.569170415959573e-07,8.748129509938772e-11,1.176708934141824e-08,5.8069893819252754e-08,6.99543257431099e-11,2.2638603270669992e-09,1.176395529758854e-08,5.607527474025905e-11,4.283089433085115e-10,2.049208762090755e-09,2.124103371323517e-11,1.2254050856123898e-10,7.082657994227936e-10,6.8957216032550144e-12,0.914351330426898,0.06911599442703907,0.01329716748205627,0.0025157452008598537,0.0007197624545089356,8.832146139705882,0.26127937440631105,3.2102931997252274e-09,1.6223091297695763e-08,0.19238915088505823,4.370857904246565,5.197798288651299,8,2
7.718364292718412e-08,4.4957410338963794e-07,1.1653602343039854e-11,8.746630303462378e-09,5.3984163613167387e-08,5.82830898409956e-12,2.200428701382062e-09,1.4145603765652175e-08,5.2561419281454784e-12,4.4298714897664245e-10,3.0589666425188334e-09,4.359993059665839e-12,1.737552143206215e-10,1.3139482841579166e-09,4.5318838384926475e-12,0.8696998943322843,0.09855641897935885,0.024794276824729847,0.004991548235407984,0.0019578616116486154,10.584214154411764,0.640162255515357,3.0056979022607903e-09,1.9100704639276996e-08,0.2515744492071483,3.3088362912742415,3.9749664654542944,8,3
2.3500477062525512e-08,1.850157363484689e-07,7.363162844656917e-12,1.8194150555489205e-09,1.2992362359188602e-08,3.692372704950641e-12,4.315084977621513e-10,2.6850184246876887e-09,2.4161277113268463e-12,9.217529875000202e-11,4.987063313341566e-10,1.4428758983468693e-12,2.847792192916297e-11,1.7394876923232116e-10,1.2560662234639783e-12,0.9083344217543802,0.07032356483726798,0.016678555960972605,0.0035627360443517136,0.0011007213461866948,9.449678308823529,0.7572050968786804,6.643309536664755e-10,4.3691231624018086e-09,0.2371688065883278,3.474262641993902,4.21640607029526,12,2
1.3420818562592543e-08,1.0690031997527717e-07,6.423475814008882e-12,1.3554050416276441e-09,8.336973207221153e-09,2.1592790464815553e-12,7.160456102664018e-10,4.9397319054855116e-09,1.9474262548495905e-12,1.7865080735638593e-08,1.4603292825490384e-07,1.2344269585330586e-12,4.539732512704234e-09,3.693780970693141e-08,1.1025693605858163e-12,0.35413856924831333,0.03576541922203298,0.0188944785113982,0.4714104509883564,0.1197910819910946,9.708180147058824,0.9603776135857358,8.858187017869192e-10,5.974786443927143e-09,0.5282890261568156,0.0729452572620326,1.8929032165139452,4,3
1.4790681044178858e-09,1.1545990585600574e-08,8.13051853045041e-12,1.7444625450135983e-10,1.2633780150907007e-09,5.686586346583367e-12,4.525749934129361e-11,2.2653678704031933e-10,4.982939169969538e-12,1.4620823457259675e-11,5.845769855756072e-11,4.458826429329477e-12,5.33811268249559e-12,7.018479933773613e-12,4.31316895423735e-12,0.8605583305839589,0.10149713667809608,0.02633193019524712,0.008506755969221631,0.003105845717851796,9.219898897058824,1.0375914446339867,6.629520080012392e-11,3.539659479256527e-10,0.25943520019467353,2.9133456326743143,3.8545269043128636,10,3
9.830468055205663e-09,8.032840385362858e-08,1.3634154120929952e-11,8.103286959287884e-10,6.588974530214063e-09,4.409882398294652e-12,8.005061337294084e-11,6.056707147302184e-10,5.2179602972931366e-12,1.6430851226729212e-11,1.1146352409846827e-10,2.0076019587429646e-12,4.226655740261044e-12,1.5909272759109225e-11,1.8452219561187842e-12,0.9151853647589018,0.07543902884313664,0.007452457948845446,0.0015296600821840347,0.0003934882300250945,10.038488051470589,0.5515528598825689,1.5500988617805783e-10,1.2095319388095682e-09,0.09878782971632472,8.39880164485377,10.122704210488543,6,2
1.933874287658234e-08,1.582211254178141e-07,5.6301363238066696e-12,9.643461068124675e-10,7.86061353130252e-09,3.022084792072757e-12,1.1132358101838209e-10,8.652134291598627e-10,5.0233916793851944e-12,1.1241265120165222e-11,7.582477905235136e-11,1.1416546336657969e-12,2.6623045755389186e-12,1.0212006897855366e-11,9.371011236711032e-13,0.946663579525311,0.0472063434113833,0.005449474165151216,0.0005502785959233613,0.000130324230243434,10.541130514705882,0.5178009069772503,1.844291880958531e-10,1.4512365133184098e-09,0.11543944654537487,7.8680480221197495,8.662550065777955,6,3
6.644197863078614e-09,5.378176083456472e-08,7.239330833097051e-12,3.294961350473602e-10,2.5533929209331083e-09,3.959064025759353e-12,7.96718983234015e-11,5.033461252519931e-10,3.5881007345184364e-12,1.558954413143857e-11,6.896559966114924e-11,3.1030151276664497e-12,5.124041467911997e-12,9.757968982883445e-12,3.5048202777019432e-12,0.939231440437981,0.04657795205934523,0.011262511045997632,0.00220375586219493,0.0007243403865972418,10.239545036764707,0.9398643308798357,1.5066322202953098e-10,1.0401589692234968e-09,0.24179918819491705,3.4588614393173946,4.135663086977332,10,2
8.487341752785728e-09,6.91263627350805e-08,7.551133438138281e-12,5.570332077237898e-10,4.209409289094511e-09,2.1816743947535246e-12,2.0761299775581288e-10,1.2474975816762778e-09,1.9751731897925583e-12,2.496804634640489e-09,2.030531378694827e-08,1.1754989067036984e-12,3.4464731452685406e-10,2.788914898116006e-09,1.1362285743493621e-12,0.7018136954182321,0.04606077442975498,0.017167406405432,0.20645942374115794,0.028498699883820703,10.052849264705882,0.6279644734913674,3.333453323979655e-10,2.0755191678444067e-09,0.3727120651497204,0.20597159282951438,2.68303627325545,4,4
1.9842983434160782e-07,1.416156050072741e-06,1.6304811692686593e-11,4.321250989760748e-08,3.25243445487673e-07,1.0074358336032777e-11,1.575470455341881e-08,1.2501634697190373e-07,9.473804430586912e-12,2.767224722873171e-09,2.211167163287789e-08,9.333199929261638e-12,8.178183670028724e-10,6.546218684208361e-09,8.914630719124883e-12,0.7603197327034207,0.1655765328021723,0.06036699468415075,0.010603121091171792,0.0031336187134496283,9.478400735294118,0.7311536110614577,2.3141014840746894e-08,1.823490266245747e-07,0.36458665766495857,2.333045831758381,2.742832132907036,8,4
1.1523928127882235e-08,9.410954036928433e-08,2.4012387749654345e-11,6.918404503234773e-10,5.608749135586949e-09,5.644868092979272e-12,1.1129382846605389e-10,8.569200824305091e-10,5.6863105861422446e-12,1.7898384973428292e-11,1.2418558481463698e-10,2.0290522466796686e-12,3.2054599627664733e-12,8.828964837218283e-12,1.8139449827779776e-12,0.9332501597157538,0.05602778875373443,0.009012984291356378,0.0014494771617580065,0.00025958995830391524,9.751263786764707,0.3129953859964293,1.4997819863528623e-10,1.1604057414106783e-09,0.16086632138587614,5.355124926103801,6.216341469399799,6,1
1.6790423819433877e-08,1.3482711126563604e-07,7.399990783702341e-12,1.2651757099205231e-09,9.619155310668206e-09,3.4922608385760157e-12,3.0596255005412055e-10,2.1106266148870382e-09,2.192435111115141e-12,5.3946222515618125e-11,2.935755782961216e-10,1.472066775986066e-12,1.7023528840951028e-11,8.431491827171738e-11,1.2564463232627536e-12,0.9109125090493535,0.06863819476540517,0.016599051765587562,0.002926685438908313,0.0009235589009633218,8.832146139705882,0.35265478968889813,4.362546273931308e-10,3.078215804623566e-09,0.24183403720081104,3.5152677599873217,4.135067195693558,12,4
1.6011261826104716e-08,1.3070996922569431e-07,5.7943297960152855e-12,8.280220541695985e-10,6.682020358419068e-09,2.9158878062556147e-12,1.4314502822228428e-10,1.028816337731799e-09,2.2490829006389833e-12,2.4878841245222713e-11,1.4503079363665057e-10,1.9956284690949947e-12,5.4635023002077665e-12,2.5297738745270683e-11,1.91626801044595e-12,0.9411319054089367,0.04867061584682372,0.008413974777491302,0.0014623626494764035,0.0003211412308314978,10.268267463235293,1.3860616907868863,2.34855287848984e-10,1.739006360915674e-09,0.17287586393047397,4.9280024888527025,5.784497414588384,10,1
6.57458141567944e-10,3.08192333217942e-09,1.1820513026381754e-11,1.473007731863151e-10,7.706766651847701e-10,3.0850528256399455e-12,1.1932600461130212e-10,6.375829892083957e-10,2.3019970229037272e-12,2.7101548013983053e-11,1.555522696299211e-10,1.2036014181001255e-12,3.4944389209695806e-12,1.2309617409529453e-11,1.096719949667796e-12,0.6886679478098232,0.15429320099238067,0.12499045873860941,0.02838806955641038,0.0036603213623786226,9.923598345588236,0.6401622555153571,1.4580710974474575e-10,7.7082029285813e-10,0.810084026300875,1.0059634888790805,1.2344398176305873,14,2
3.007660618330022e-08,2.2926752778635102e-07,1.7804751418559408e-11,4.606484787236631e-09,2.6877643862661694e-08,6.006996003942037e-12,2.8032470144248665e-09,1.7747348467668203e-08,5.089634017873511e-12,8.207058393398221e-09,6.51157411836271e-08,4.2768017077286165e-12,4.478996931634492e-09,3.645913528549659e-08,4.2026057169884585e-12,0.5994652476828793,0.09181313633256541,0.055872300071926,0.16357717564816276,0.08927214023515566,10.943244485294118,1.1427772440302022,3.891814429732782e-09,2.3474917980648454e-08,0.6085436385890205,0.41837938331377705,1.6432675255217062,2,3
2.981277126652585e-08,2.436188080853875e-07,1.4434478558778723e-11,3.3057231403978536e-09,2.6970919540620262e-08,4.921085301573294e-12,4.401540349331934e-10,3.5347410335043932e-09,5.62377082515113e-12,9.295061926787228e-11,7.248596378380357e-10,2.9789647938464907e-12,1.4514038556803335e-11,9.835722750694426e-11,2.4879627883296418e-12,0.8855424199684511,0.0981914107656438,0.013074097197105002,0.0027609548803152815,0.0004311171448035865,10.943244485294118,0.8792065639369236,6.454493287407028e-10,5.199101403306393e-09,0.1331490920574831,6.2008896475177115,7.51037788363095,18,2
2.664909935478675e-08,2.1774629944146356e-07,1.6086747615174088e-11,1.6674845723291073e-09,1.354541264706984e-08,5.3725041768271745e-12,2.9598595721133166e-10,2.357506502979028e-09,5.1412461385308095e-12,4.05370400735985e-11,2.97139656827245e-10,2.847276645001815e-12,8.659419821526516e-12,5.018405381828271e-11,2.5884521608256947e-12,0.9297786826313793,0.058178011509038965,0.010326856818292724,0.0014143245599268564,0.0003021244300537603,10.440602022058824,0.6752825106565228,4.644903744711981e-10,3.7170536681241257e-09,0.1775044650259455,4.9550389676056685,5.633661068770708,18,3
2.8037101072479313e-08,2.2275415464172462e-07,1.4572607855650496e-11,4.12702808327351e-09,2.8443141508262806e-08,6.71332301547762e-12,2.156770081460777e-09,1.2781161540238393e-08,6.1381803965604835e-12,8.430341240357392e-09,6.782397861984645e-08,5.195412163468468e-12,7.911621009119903e-09,6.4474320606988e-08,5.189789918754587e-12,0.5534053989238411,0.08146061951589297,0.042571027733298385,0.16640081102263304,0.15616214277530752,9.363511029411764,0.5613746635366517,3.134972607430896e-09,1.903852306482004e-08,0.5225964149440748,0.38981625461849767,1.9135225010466932,2,2
6.919860637677609e-10,4.374203641104745e-09,8.402095704489792e-12,7.890904418917077e-11,4.2888000627608377e-10,2.3145545549520608e-12,6.08629735791061e-11,3.5723392599293e-10,2.1449368682006838e-12,2.0700475379195167e-11,1.416094269670088e-10,7.651218624788691e-13,2.425210319988924e-12,1.0842332434964258e-11,6.829472127110432e-13,0.8094504646115149,0.09230382781583213,0.07119444280857644,0.024214374090331794,0.0028368889535245203,9.851792279411764,0.5225587488126221,7.270099354580197e-11,4.275565695145571e-10,0.7713054070066416,0.9674559349100496,1.2965032373909082,14,3
2.6391846753770345e-09,1.4148087686183114e-08,1.115511223611781e-11,2.851492296187336e-10,1.456830324036446e-09,3.632427275367265e-12,1.0810495484808623e-10,4.883312139281753e-10,2.9436614746459486e-12,3.027028462101439e-11,1.585252034872719e-10,2.0234649215572613e-12,4.852117563757659e-12,1.4407886239167092e-11,1.8192962108562035e-12,0.8603527195301962,0.09295632755952181,0.03524133523735047,0.009867866367071217,0.0015817508264603564,9.334788602941176,0.9078286207076695,1.3521663967294098e-10,6.011779227728544e-10,0.37911711855264585,2.0606954516018985,2.637707273828997,14,1
