Subj ID;Gender;Age;Education/Job;Number of years of experience in SW programming;"Approximate number of lines programmed 
in any language in the last 3 years";Approximate number of lines programmed in Java in the last 3 years;Approximate number of lines writtenin biggest Java program ever
S01;1;28;Researcher and Assistant Professor ;10;5000;3000;10000
S02;1;31;Professor;20;10000;3000;100000
S03;1;31;Ph.D. Student;10;3000;300;5000
S04;1;23;Masters student;5;30000;20000;2000
S05;1;22;Master's Degree in Software Engineering ;4;25 000;10 000;3000
;;;;;;;
;;;;;;;
;;;;;;;
S06;1;21;Masters student;4;10000;2000;600
;;;;;;;
;;;;;;;
;;;;;;;
S07;1;24;Software developer;2;50000;30000;5000
;;;;;;;
;;;;;;;
;;;;;;;
S08;1;21;Masters student;4;10000;3000;1000
;;;;;;;
;;;;;;;
;;;;;;;
S09;1;22;Masters student;4;3000;2000;1492
;;;;;;;
;;;;;;;
;;;;;;;
S10;1;22;Masters student;4;20000;5000;1000
;;;;;;;
;;;;;;;
;;;;;;;
S11;1;32;Masters student;0;0;0;0
;;;;;;;
;;;;;;;
;;;;;;;
S12;1;22;Masters student;4;20000;8000;8000
;;;;;;;
;;;;;;;
;;;;;;;
S13;1;42;Professor;20;300000;200000;200000
;;;;;;;
;;;;;;;
;;;;;;;
S14;1;21;Masters student;3;20000;4000;1800
;;;;;;;
;;;;;;;
;;;;;;;
S15;0;22;Masters student;4;20000;5000;2000
;;;;;;;
;;;;;;;
;;;;;;;
S16;1;37;Researcher / Professor;20;3000;1000;10000
;;;;;;;
;;;;;;;
;;;;;;;
S17;1;22;Masters student;4;8000;3000;1000
;;;;;;;
;;;;;;;
;;;;;;;
S18;1;21;Masters student;4;10000;4000;2000
;;;;;;;
;;;;;;;
;;;;;;;
S19;1;23;Masters student;5;27000;12000;5900
;;;;;;;
;;;;;;;
;;;;;;;
S20;1;21;Masters student;4;20000;5000;1000
