Delta_Abs_mean,Delta_Abs_std,Delta_Abs_median,Theta_Abs_mean,Theta_Abs_std,Theta_Abs_median,Alpha_Abs_mean,Alpha_Abs_std,Alpha_Abs_median,Beta_Abs_mean,Beta_Abs_std,Beta_Abs_median,Gamma_Abs_mean,Gamma_Abs_std,Gamma_Abs_median,Delta_Rel,Theta_Rel,Alpha_Rel,Beta_Rel,Gamma_Rel,AlphaPeakFreq_mean,AlphaPeakFreq_std,AlphaPeakAmp_mean,AlphaPeakAmp_std,AlphaTheta_ratio,Index2,BrainbeatIndex,User,Task
1.594701458275598e-12,8.458365529503175e-13,1.4722347569076007e-12,5.869377788192611e-13,2.720704984137781e-13,5.155536309994277e-13,3.7623226882457687e-13,2.065740271257073e-13,3.139186548143494e-13,1.288916198467734e-13,7.249265240801358e-14,1.1382220499821343e-13,8.030358896250229e-14,8.591665350418734e-14,5.227257577834728e-14,0.5763144376907019,0.21211538636543556,0.13596782477592778,0.04658056906485842,0.029021179780893875,9.440104166666666,0.6345569234901669,4.4628382807270004e-13,2.4694994514063934e-13,0.6410069585851295,1.1619641346922103,1.560034126248884,1,1
2.382065272056439e-12,9.091799702784151e-13,2.2926117405713984e-12,1.270724695394039e-12,5.73591611933852e-13,1.1039371498235559e-12,1.3199601715006939e-12,5.110541702631893e-13,1.194958308681725e-12,3.034695690817471e-13,8.037209247817771e-14,3.142207174241522e-13,1.3632432272148634e-13,1.0088630751836797e-13,1.106010141133853e-13,0.4401007225105605,0.23477394306333602,0.24387049002276662,0.056067807284535635,0.02518672919222486,9.66796875,0.3429574789340084,1.7049479502292205e-12,6.864519962432076e-13,1.0387446195419656,0.7827399973413551,0.9626980558455519,2,2
1.850895809174378e-12,8.978699962958047e-13,1.8307398053189626e-12,6.53385898123103e-13,2.4198491766221964e-13,5.789624943569408e-13,8.63031502311471e-13,6.081891200937898e-13,6.398006428794576e-13,1.376055220142466e-13,6.191417863843796e-14,1.1494332084766895e-13,6.470827057220651e-14,6.961142194459633e-14,3.888131568364662e-14,0.5185121425429406,0.18304029879146777,0.2417706664672739,0.03854897379511258,0.01812745150123255,9.765625,0.43673202685542767,1.2396685436938802e-12,9.622892575934602e-13,1.3208569443606646,0.652968852798513,0.7570808650341162,3,1
2.1847563044398353e-12,8.544440676704435e-13,2.0975855609645496e-12,8.716990712251611e-13,3.953115849411809e-13,7.927557537916113e-13,6.294731408757209e-13,2.549515706843512e-13,5.414302078670623e-13,3.122733019528553e-13,1.634715759847627e-13,2.70939221057529e-13,2.5796977474701216e-13,2.1655279628298743e-13,1.839628482976906e-13,0.5133147010296861,0.20480817344455493,0.14789650289975229,0.0733694995207174,0.06061073151722064,9.700520833333334,1.0677877257068182,7.2763331876061e-13,3.1830178157442685e-13,0.7221206929319295,0.9256180739161488,1.3848037455676296,4,3
8.224052402045044e-13,3.303354344463009e-13,7.651870278162751e-13,5.600719046648822e-13,2.131895298388935e-13,5.430922517256284e-13,6.60428136467671e-13,1.9886988052038886e-13,6.485561030778591e-13,2.744035873473807e-13,9.812803102665276e-14,2.5038282119570175e-13,8.850796080534465e-14,9.12998272920987e-14,5.4705300718094353e-14,0.3418401020352882,0.23279890214480287,0.2745128684989225,0.11405830813328999,0.036789126422772746,10.611979166666666,0.4533980558979206,7.826600955964908e-13,2.393778481336153e-13,1.1791810402650027,0.599114142014416,0.8480415359919157,5,3
1.4225173535699356e-12,5.514739569886277e-13,1.4556040099244119e-12,5.272965945579782e-13,2.1881698623396758e-13,4.4428718799756995e-13,5.96235701855652e-13,2.1794825466417218e-13,5.698178347888749e-13,1.2888536204173888e-13,4.644003670352801e-14,1.233669970817327e-13,4.0290604818509e-14,2.4256837257327475e-14,3.3366015546541104e-14,0.5239036018122146,0.19419979968536694,0.21958961059229898,0.04746761452511069,0.014838759562852447,10.139973958333334,0.6451146218296359,7.255406764751157e-13,3.099650191145197e-13,1.1307370907518273,0.7271825476327372,0.8843736109073482,6,1
9.577869392074544e-13,3.971145137914753e-13,8.968994387812991e-13,7.470600317017474e-13,3.656416887122833e-13,6.776508789432259e-13,7.479710142987478e-13,2.6348810747144384e-13,6.667382427302445e-13,3.2769092251683886e-13,1.1623585471401797e-13,2.893813454074809e-13,9.719892623913087e-14,7.06466034329549e-14,7.390699044121537e-14,0.3328296129256885,0.2596023092456156,0.2599188744155192,0.11387213422516508,0.033776490023691375,10.546875,0.6124637930412363,8.459134354878594e-13,2.8761328650105234e-13,1.0012171898684135,0.6945108389679493,0.9987798360997769,5,2
1.8233967460309485e-12,9.983313429813826e-13,1.6990292969879578e-12,7.314038347990294e-13,4.344614047761524e-13,5.819320066997648e-13,5.08394484994258e-13,2.7078116548791794e-13,4.2806508689348244e-13,2.3130611278494704e-13,1.3703722450903686e-13,1.979072493634732e-13,1.643740201507282e-13,1.3605557615623095e-13,1.204148837285816e-13,0.5271643995936443,0.21145703164799606,0.14698253357208146,0.06687318507836514,0.04752236825593274,9.521484375,1.0026622937019167,6.043181834418391e-13,3.5482031282431344e-13,0.6950925088414889,0.9887813921280088,1.4386494319627345,4,2
2.1222448995045055e-12,8.391905567623417e-13,1.9771322356536676e-12,1.351282023813563e-12,6.705191844960038e-13,1.18891986624565e-12,1.2241680428667855e-12,4.3833750035303916e-13,1.1537665972785922e-12,2.963182265700447e-13,7.736660412711016e-14,2.9895593404215143e-13,1.3891047984832868e-13,9.567109173679926e-14,1.117328447341739e-13,0.413457192386588,0.2632576814385866,0.23849324935649865,0.05772891810894583,0.027062634008249035,9.440104166666666,0.46035597733499195,1.6292814646217334e-12,6.086856965496084e-13,0.9059297107565408,0.8887160441906876,1.1038355330067389,2,3
2.7484953741000364e-12,8.328320499439182e-13,2.580348113746226e-12,1.679088349723729e-12,5.799838271969455e-13,1.5768279779817477e-12,3.537881292991565e-12,1.6074341800324585e-12,3.156741432645593e-12,3.976642994894344e-13,1.1695167790219552e-13,3.9084509317419646e-13,8.558897973723779e-14,7.206699851777967e-14,6.540154990869205e-14,0.3253150046671526,0.19873878612795343,0.4187476101240448,0.04706799387891449,0.010130407933392772,10.693359375,0.21283686247757194,5.964494830135892e-12,3.5971931625678706e-12,2.107023005590304,0.426646725133565,0.47460257133150985,7,1
1.308081153830569e-12,5.436842384119813e-13,1.2731932038335051e-12,6.351404243565379e-13,3.199326997903972e-13,5.733743465279884e-13,3.2667457239732525e-13,1.8143799172917952e-13,2.903262605404428e-13,1.2154836390153894e-13,6.251446179652972e-14,1.12500793681646e-13,6.452496440384655e-14,5.1687165423160594e-14,4.8631090651085884e-14,0.5326125904195744,0.2586107029415547,0.13301238208289531,0.04949095762849362,0.026272688309302673,9.309895833333334,0.7661850453085821,3.7859841886817653e-13,2.024569610887517e-13,0.51433305557038,1.4170137474702191,1.9442504486288077,1,2
2.3745127430825867e-12,8.382852987175516e-13,2.340067537507594e-12,1.3290224955262681e-12,4.746690602698383e-13,1.1925741840981802e-12,1.901475798094774e-12,6.392364258510936e-13,1.843277261677413e-12,3.577577531930365e-13,1.3336335476846868e-13,3.2560694826636294e-13,1.184565554735681e-13,1.1217184324050016e-13,8.027111661304279e-14,0.3904660586395781,0.2185451213867962,0.3126796277019557,0.05882986319782296,0.019479055006349978,9.5703125,0.4649367466499251,2.4936687459168316e-12,1.0022019782299978e-12,1.4307307964644336,0.5882621185099848,0.6989420175395068,2,1
2.676222064689977e-12,9.051303061101753e-13,2.537427854664079e-12,1.5020496567680585e-12,5.264977121140474e-13,1.3828159031632546e-12,3.107185422721966e-12,1.5793767629834132e-12,2.854864812789789e-12,3.480940805232827e-13,9.339371899221483e-14,3.483344932176432e-13,8.043698873216297e-14,3.993095864018489e-14,6.853753651073853e-14,0.3469309794653957,0.19471760789348805,0.4027987424169183,0.04512503722894109,0.010427416937588488,10.677083333333334,0.3505966671311526,5.603266470200036e-12,3.687838393825918e-12,2.068627998420718,0.4347112674498642,0.4834113986562683,7,3
1.7353447515608083e-12,6.690953089289068e-13,1.7048949234437324e-12,7.331579642320295e-13,2.98371217524733e-13,6.845062093849278e-13,6.772694324967636e-13,2.9388295296568624e-13,5.784211229384623e-13,1.4040860964909916e-13,5.3397979185653406e-14,1.2828358865676315e-13,6.610592580549215e-14,4.670394549561121e-14,5.0481172297356316e-14,0.5176597506441004,0.21870372939194593,0.20203197389441657,0.0418844069997411,0.0197196418969717,9.830729166666666,0.35059666713115256,9.127200062353436e-13,4.0320755434110495e-13,0.9237680362550471,0.8966322098132455,1.0825177172592053,3,2
1.3887140636571043e-12,5.685156332470746e-13,1.3811927633519313e-12,5.69028592347985e-13,2.607402884701904e-13,5.000025237995809e-13,5.484229262773578e-13,1.8032838815751764e-13,5.288586864909046e-13,1.3165274212691083e-13,4.260424431400558e-14,1.2606046417783877e-13,3.955537071864475e-14,1.7501295459368916e-14,3.392733226488131e-14,0.5186848596105091,0.21253224350528116,0.20483602490079864,0.04917231405261859,0.014773935430604101,10.042317708333334,0.5376023621391193,6.608639377646623e-13,2.2596273214709092e-13,0.9637851723861256,0.8367115958784785,1.0375694300894773,6,2
1.4420285523266848e-12,5.950790265786783e-13,1.427106010928826e-12,5.285438058016303e-13,2.288461062276015e-13,4.4660209891364896e-13,6.012580129682634e-13,2.2535416798060836e-13,5.75239277350745e-13,1.4645954732083488e-13,6.073587384683528e-14,1.36816291312918e-13,6.480235006017872e-14,5.898182341353283e-14,4.570370026410574e-14,0.5181386564488843,0.18991231274205406,0.21603942481988045,0.05262472296438794,0.02328428417088975,9.977213541666666,0.5376023621391193,7.371951622991113e-13,2.9280349988625295e-13,1.1375710213927295,0.7068747020904131,0.8790607847220839,6,3
8.076313316115737e-13,2.5588124278342565e-13,7.513526624691002e-13,5.529519871155654e-13,1.727550214957598e-13,5.59480352768073e-13,6.442975173410272e-13,1.8573164619708828e-13,6.286710354781079e-13,2.652743106739245e-13,5.0366305833675526e-14,2.5422379822594777e-13,6.914809013278392e-14,4.7121749567237975e-14,4.9796130940892213e-14,0.3452441494004809,0.23637448298357147,0.27542263360607955,0.11339877511149488,0.02955924643602406,10.823567708333334,0.2699076164026205,8.158345728709176e-13,2.50204146294711e-13,1.1651926213598525,0.607924472677293,0.8582223923924174,5,1
2.246105092800818e-12,8.573684846255171e-13,2.2010971107873572e-12,7.533418077567627e-13,3.060808310923642e-13,6.773485516334775e-13,7.082568517697368e-13,3.357672026523088e-13,6.185400628905091e-13,3.265820366506229e-13,1.981037891450484e-13,2.5028776170209116e-13,2.692376726470479e-13,2.5562118280242313e-13,1.5577493951815383e-13,0.5219221512231395,0.1750522618781158,0.16457597682272376,0.07588709881200675,0.0625621239846055,9.47265625,0.94848973205296,8.83024748385402e-13,5.000377824929884e-13,0.9401513065627872,0.7279786282568037,1.063653719859082,4,1
1.5333698598228367e-12,5.883905178088426e-13,1.4745177912966261e-12,6.266040748599542e-13,2.604708740483372e-13,5.746988609253211e-13,6.021302000544302e-13,2.871819652957839e-13,5.153251880950433e-13,1.1723262075918424e-13,3.9250075771426564e-14,1.076846085466193e-13,4.829971240787139e-14,2.6668257355375085e-14,3.952321371664374e-14,0.5237566220073704,0.2140305755211736,0.20567097857627634,0.04004341225605913,0.016497842352005666,9.798177083333334,0.3973488156163315,8.084377282055606e-13,4.1069874753099e-13,0.9609394873839489,0.8710522770657766,1.0406426058665863,3,3
2.7050595521487094e-12,9.542934049926339e-13,2.5672576368386464e-12,1.5960117535530606e-12,6.510908666101942e-13,1.434075806855738e-12,3.4023529675853073e-12,1.6742026099128522e-12,2.876354876451325e-12,3.701268212680746e-13,8.009131237216355e-14,3.730832049541024e-13,8.05155178518788e-14,3.731170504037534e-14,7.19530931064956e-14,0.33174354930174854,0.19573195844447444,0.4172583367148127,0.04539167549258257,0.009874275649433899,10.7421875,0.25214735326871207,5.679605699675588e-12,3.43146504013798e-12,2.131782179573964,0.4230668254757651,0.4690903580378688,7,2
1.340692830857221e-12,5.778072658655849e-13,1.294920992914433e-12,5.965489687968509e-13,2.8585395089984073e-13,5.505737382390312e-13,3.648838621763702e-13,1.9916249055078046e-13,3.144650724939586e-13,1.2743580895121957e-13,6.82786637661648e-14,1.1391537268664456e-13,7.30075675982694e-14,8.710953135598422e-14,4.238166022502478e-14,0.5357262546683002,0.23837447133616285,0.14580361763228428,0.05092196144318197,0.029173028938221348,9.781901041666666,0.9176858957689096,4.25668351936107e-13,2.413616786327058e-13,0.6116561453209363,1.2117065075212152,1.6348934710794436,1,3
2.0000043566583605e-12,9.939769953709606e-13,1.947463906559014e-12,7.06747123512778e-13,3.0842068120967495e-13,6.980278866828657e-13,5.488912578813166e-13,2.54350218022253e-13,4.71263443181616e-13,2.2155956761463892e-13,1.4352787293590003e-13,1.9116239695326743e-13,1.501932204266624e-13,1.9968033034670938e-13,6.664223902710538e-14,0.5513607279208295,0.19483587982129644,0.15131821212653426,0.06107948918768216,0.041405231477385146,10.042317708333334,0.9280198756607052,6.230226076836408e-13,3.180526190962117e-13,0.7766426564974414,0.9173143454036647,1.287586507140329,8,3
1.7095351427827335e-12,8.480486160537623e-13,1.6859318178251126e-12,6.721940154104775e-13,3.074992993209348e-13,6.152435516530477e-13,6.129158688969377e-13,2.369265902080384e-13,5.24294699842016e-13,2.4533863323656765e-13,1.1651902366916253e-13,2.0483378936592777e-13,1.082726958583246e-13,8.587481343504936e-14,8.253075132664239e-14,0.510574493099168,0.20075932345201117,0.1830551482931766,0.07327351463421955,0.032337022750149005,11.442057291666666,0.799185136535867,8.411669659429367e-13,3.9245847017877255e-13,0.9118116721651252,0.7832090695604246,1.096711998609023,9,1
2.292079707205166e-12,1.3053091429530064e-12,2.2302261951740188e-12,7.310954974957925e-13,3.2662858140616597e-13,6.790171682691489e-13,5.879257950648602e-13,2.909059206293662e-13,5.166882065992015e-13,2.2406431044052618e-13,1.2810733233261147e-13,1.9253026467868043e-13,1.5606529914183215e-13,1.8992658814546758e-13,8.486108191344724e-14,0.5742787060976959,0.1831753821718878,0.14730432969235532,0.05613913071084137,0.039102033745242175,10.677083333333334,0.39332831945294827,6.942217714535031e-13,3.91402239733265e-13,0.8041691636683952,0.9003730364657938,1.2435130948682278,8,2
1.4529763954480722e-12,6.918387313092722e-13,1.3661941665723368e-12,7.595261684625703e-13,4.830602697560975e-13,6.387344367352541e-13,5.954134642782212e-13,2.334927829985806e-13,5.362979123911624e-13,2.1241507728811852e-13,9.145665089828056e-14,1.8776299728994963e-13,9.760768463075044e-14,6.710210153679682e-14,7.053014839730537e-14,0.4660051773250407,0.24359867643153213,0.19096370586056471,0.06812672667516818,0.03130517916680438,11.165364583333334,0.804635878535695,7.673591335157233e-13,3.5801061243811474e-13,0.7839257980280722,0.9402052073837484,1.2756245667745263,9,3
1.4287914522176222e-12,5.900049251582841e-13,1.4130834094261133e-12,7.197965659600662e-13,4.353692258250532e-13,6.033591717822131e-13,4.751306274327675e-13,1.6975399080951317e-13,4.233807916215899e-13,1.908535051689278e-13,8.543463326225267e-14,1.6068393996505142e-13,8.927375772183713e-14,7.065016137258938e-14,6.804414189042664e-14,0.49203390165374494,0.2478768417858333,0.16362106313562189,0.06572435371642862,0.030743265757217204,10.514322916666666,1.3504211271283555,5.647831626859692e-13,2.220477921093898e-13,0.6600886274739673,1.080798669807704,1.5149392598631266,9,2
1.666717683916249e-12,5.775197854848335e-13,1.75949999086892e-12,7.027352842075176e-13,2.6302050101300586e-13,6.969858616397379e-13,6.185971186413321e-13,3.138206233938506e-13,5.177174388521418e-13,1.8384617672685793e-13,9.365105147826215e-14,1.6048734026183087e-13,7.973542753144251e-14,8.377050767113045e-14,4.930619641113373e-14,0.512578602988706,0.21611762671383564,0.19024196475852942,0.05653963916075113,0.024521653815264683,10.595703125,0.5588634346806444,7.507052346854214e-13,4.3509045520008326e-13,0.8802683818914252,0.8757426583195274,1.1360114195142292,8,1
1.2894071955704059e-12,5.663198327569265e-13,1.3152789569075912e-12,4.0096570602993593e-13,2.194061830000416e-13,3.60451834049131e-13,7.443916039195914e-13,2.469538033887501e-13,7.403975092703942e-13,1.4805189506785004e-13,5.659481649595798e-14,1.4156795959588447e-13,6.515597976959377e-14,4.945703092798479e-14,5.058237382508112e-14,0.48694102459936156,0.15142357852055455,0.28111740927226403,0.05591138449194389,0.024605973703866198,11.62109375,0.29296875,1.2575321007125232e-12,4.865665073335517e-13,1.8564892173479797,0.44928889915163855,0.5386476770728319,10,1
1.2394134450010247e-12,7.817811728430808e-13,1.03837436128339e-12,4.97154310363725e-13,3.0711773917185976e-13,4.047276221498075e-13,1.3986989863589117e-12,1.6077617263137621e-12,9.18792285604045e-13,1.7609280768517453e-13,1.0154008154258152e-13,1.5832631701909447e-13,6.08590724823526e-14,5.751297621845722e-14,4.3841291237008936e-14,0.36753632294023875,0.14742640391868803,0.4147709421904557,0.05221865495640008,0.018047181759996842,10.758463541666666,0.12501864824004896,2.7919973286618614e-12,3.5008385463365098e-12,2.813400725288691,0.31569492937781435,0.3554401074227806,11,1
1.2413294587716969e-12,5.951036334682343e-13,1.1804222569077663e-12,4.094008473423508e-13,2.5834814191314573e-13,3.121358524234497e-13,4.930196471839811e-13,1.546720796883583e-13,5.004456611038854e-13,1.2791324369013112e-13,5.884059324979823e-14,1.0832233276439285e-13,5.021156559954341e-14,3.27182378065091e-14,4.009814842460492e-14,0.5346233947386804,0.17632327120604893,0.21233672945390367,0.05509046135207471,0.02162542543905662,11.295572916666666,0.48392150870177425,6.914513003431374e-13,2.221664293690856e-13,1.204241865434959,0.6593301055167381,0.830391781939009,10,2
1.4837980760813756e-12,7.619918007471608e-13,1.2506505403884905e-12,6.692089556453913e-13,4.815036671951238e-13,5.254153557539435e-13,6.55282091108181e-13,5.421840781632317e-13,4.87190973124166e-13,1.927549220493516e-13,1.0633099807073849e-13,1.7488854320513475e-13,1.295655605380487e-13,1.3261075940797844e-13,9.103421538565718e-14,0.47396433064372673,0.21376303139636918,0.20931442269768616,0.061571017701194455,0.04138666518363084,10.7421875,0.0,1.0604346799361955e-12,1.0704062125875857e-12,0.9791866256459659,0.7891255099167411,1.0212506379187996,11,2
1.3721664545949578e-12,6.377098962757177e-13,1.1410153505770425e-12,6.273534568164731e-13,3.600615699718726e-13,4.9313841127636e-13,8.985139736827984e-13,7.470536954921581e-13,6.327682660498546e-13,2.430345317577475e-13,2.02092456963149e-13,2.0618546281484896e-13,1.901664751766028e-13,3.066246061096085e-13,1.0597978486309911e-13,0.41190904050728766,0.1883244992550725,0.26972385714772584,0.07295625137259464,0.05708585140260522,10.758463541666666,0.12501864824004896,1.5622144098415005e-12,1.5882292062863696e-12,1.432225449429913,0.5495627543539567,0.6982109477498608,11,3
1.0882555528094696e-12,5.510019525610626e-13,9.835695429483545e-13,3.80453199051852e-13,2.3296791993324367e-13,2.8787859148300114e-13,7.862682096840044e-13,2.940017799001777e-13,8.040812967721583e-13,1.4483839322021136e-13,5.806431826522912e-14,1.3282539331178544e-13,4.8433097292027225e-14,2.840439488528646e-14,4.0277356177618346e-14,0.4445034208255459,0.15539801107008788,0.3211551808659665,0.059159965770035704,0.019782740710032286,11.555989583333334,0.3639433557128564,1.2092124384911002e-12,5.167528228699439e-13,2.0666530527847913,0.4086025347269126,0.4838710098085615,10,3
1.4414652364443574e-12,4.920552227573252e-13,1.4476858311381948e-12,5.273629667288603e-13,2.1512090253227247e-13,5.031970150939427e-13,4.788906496961467e-13,2.1130667716788954e-13,4.547396747410327e-13,1.202370825276439e-13,3.557120069613836e-14,1.1739987711813037e-13,3.6109297315922615e-14,1.2728514299895732e-14,3.15122833470606e-14,0.5535438574131014,0.20251513770806,0.18390105485010355,0.0461728086003818,0.013866501403833139,11.018880208333334,1.1289285894439998,6.987279844739937e-13,5.244504709448182e-13,0.9080826042746319,0.8802154721592649,1.1012140907462904,12,2
1.945037865735473e-12,5.908219362100134e-13,1.82073084079129e-12,2.08000436594241e-12,4.991017707204192e-13,2.013120966122578e-12,2.9898274876460828e-12,8.331322308584418e-13,2.981094667391385e-12,1.9103003308079807e-13,5.4449747135056167e-14,1.8809831200325612e-13,3.97006978019347e-14,2.4287636935237195e-14,3.07556101801585e-14,0.26844392424004637,0.28707129268091486,0.4126403077921505,0.026364963187246016,0.005479282075050848,9.5703125,0.956831930774679,4.501232025549423e-12,1.0315750288956441e-12,1.43741289245001,0.6539127460234423,0.6956933853367704,13,1
2.4011214816011467e-12,1.2251732441879614e-12,2.191859909240337e-12,1.0989138151970387e-12,5.919923006063741e-13,9.243032952624277e-13,1.0654635011457061e-12,7.297495496333633e-13,7.424526503604998e-13,1.6354522242216583e-13,7.467809799308773e-14,1.4474571380587036e-13,7.545681094311928e-14,7.943717420934885e-14,4.507546784661149e-14,0.49976485236770074,0.2287258286700893,0.22176354400785311,0.03403999113145807,0.0157054369260729,10.660807291666666,0.32347993024661126,1.3537406885421565e-12,9.921529337708523e-13,0.9695590959722702,0.89414526022626,1.031393468688745,14,1
1.4672238748255114e-12,6.689420086788643e-13,1.3570716354293833e-12,6.272002272693917e-13,3.6755405560762135e-13,5.096569053975067e-13,3.1392729841744376e-13,1.665218705185273e-13,2.6326572472332394e-13,1.4534266055578176e-13,7.623006405996453e-14,1.211348197232293e-13,4.5657857449547494e-14,2.596516401027242e-14,3.6390178420583397e-14,0.5644572108959381,0.24129084663366857,0.1207712949122235,0.05591492491987167,0.01756508145324504,9.309895833333334,0.8637043724883855,3.601453446819721e-13,1.9712668950724084e-13,0.5005203291835847,1.365641141874438,1.9979049308220003,15,1
2.2530475294780284e-12,1.0751137995026977e-12,1.979227991360877e-12,7.800960866965532e-13,2.825052998336383e-13,7.14901143028544e-13,1.0581227668314702e-12,3.5355765856023883e-13,9.87356702609988e-13,2.484451387198324e-13,4.9160256430225736e-14,2.3599332705783385e-13,7.343342258781295e-14,4.4919398772309e-14,5.755261424724157e-14,0.5105308588371422,0.1767664107862616,0.23976605812250873,0.05629659755732458,0.016639697037280163,10.367838541666666,0.47480312974657624,1.3311785433465313e-12,4.501728851632579e-13,1.356397659485118,0.5970566767235362,0.7372441860335576,16,1
1.4227696661102334e-12,4.1811134581788574e-13,1.4237431284738738e-12,5.104237482941142e-13,1.9217770403057312e-13,4.83526725723415e-13,4.588607906792577e-13,2.1095311944447594e-13,4.130106920362691e-13,1.1238102700989499e-13,2.946326780589335e-14,1.101090021283344e-13,4.244636286899542e-14,1.8053842464528067e-14,3.58256986337109e-14,0.5586316764279693,0.2004111283717071,0.18016561559470085,0.0441249226860945,0.01666600252492287,11.051432291666666,1.0770509932659962,6.369756777893943e-13,4.640793851955921e-13,0.898977161461513,0.8935309763221364,1.1123676389792752,12,3
1.6315729178942606e-12,5.629137254704174e-13,1.6347762998655887e-12,6.449436681773184e-13,3.8190247793821635e-13,5.7583648232074e-13,4.939174336805879e-13,2.2029503391641003e-13,4.624947174195467e-13,1.383529041271893e-13,6.876050544158497e-14,1.2123327878717618e-13,4.5454674303539946e-14,2.495104545212656e-14,3.642416699161456e-14,0.5522811669936545,0.21831095490714794,0.167189154514579,0.046831926731746173,0.015386232692606175,10.856119791666666,1.0711317307143813,5.856463853314688e-13,2.7868384112290914e-13,0.7658283686943306,1.020041475208771,1.305767822552083,12,1
2.659838751938272e-12,9.942940446277874e-13,2.5405698818594957e-12,3.1237200676073948e-12,1.1096848296763799e-12,3.0823143254542503e-12,2.943298628709567e-12,9.603671190367843e-13,2.852183752330562e-12,2.2974874098179286e-13,9.810508956643253e-14,2.1592645298518637e-13,8.449331668219738e-14,8.793010812740725e-14,5.41111235806533e-14,0.2941941143190988,0.34550216925777005,0.32554647631132955,0.025411588322717685,0.009345467445757052,9.375,0.8950343154210625,4.536953907623585e-12,1.400599125041886e-12,0.9422409801792336,0.9844537641286341,1.0612984589151813,13,2
1.6928285818114922e-12,8.720689891804956e-13,1.4249270084270188e-12,5.957216947576381e-13,2.6981630671172626e-13,4.900124566164271e-13,8.089573532260255e-13,2.845778627571595e-13,7.552860387453274e-13,2.5986576312575846e-13,8.829295612816508e-14,2.4854384493343996e-13,1.0860309877165515e-13,1.0255462976176006e-13,6.660853317908239e-14,0.4884129398590505,0.171876932727022,0.23339943769552743,0.07497616870406841,0.03133404014959717,10.7421875,0.17829510335454626,1.036536553777164e-12,3.879993280186258e-13,1.357941295590462,0.5573614162232188,0.7364052814896115,16,3
1.411294503242813e-12,6.768147884476192e-13,1.379595265758203e-12,7.004288597822016e-13,5.044970143886646e-13,5.603873763314379e-13,3.749465988073549e-13,2.5553113802935593e-13,2.9697380509340326e-13,1.6254589910365495e-13,7.931863742939188e-14,1.4187230839149073e-13,6.81586614409869e-14,4.3428010104189495e-14,5.3078294236424697e-14,0.5193592660939184,0.2577592541681549,0.13798111587167078,0.05981722359937933,0.02508252693013177,9.212239583333334,0.8979892073003725,4.641030778476216e-13,3.35415657626427e-13,0.5353087631807065,1.303137607703234,1.8680680090537216,15,3
3.025957629920658e-12,1.4121944985479788e-12,3.320018120174042e-12,1.6688683439654072e-12,9.494686124531296e-13,1.3846987611687665e-12,1.0168860509691641e-12,6.060257448679124e-13,9.324173148734476e-13,1.9329039621310193e-13,7.898499905602973e-14,1.9569133783414488e-13,8.013285597145173e-14,6.039553024076552e-14,5.826036127328101e-14,0.5055786790480279,0.2788354484888223,0.16990188537598125,0.03229506660099942,0.013388642018578006,9.1796875,0.6477782793662891,1.219436239470533e-12,7.405815508298026e-13,0.6093260975934398,1.379027041447333,1.6411530152467282,14,2
2.7732904556210744e-12,1.341046932081449e-12,2.6238298105942563e-12,1.5039079421857954e-12,8.385179748922697e-13,1.3045221945687279e-12,1.0021800152660212e-12,6.228181509227974e-13,7.762246891633355e-13,1.9618977450925232e-13,9.307518869937251e-14,1.7070722946778578e-13,9.158257527825177e-14,8.041162896140814e-14,5.490052088491023e-14,0.4981524200616632,0.2701395302577613,0.18001662931854692,0.03524059687475072,0.016450524112204313,9.5703125,0.7522278651231343,1.1673365595756693e-12,7.242511897118879e-13,0.6663831452149049,1.2549597490005455,1.5006340360218298,14,3
