vol;t1;t2;t3
1;3,166666667;3;2,833333333
2;3,5;4,333333333;4,666666667
3;3,5;3,166666667;3,666666667
4;4;5;3,166666667
5;2,333333333;2,666666667;3,333333333
6;3,333333333;4;5,166666667
7;4,666666667;4,833333333;3,166666667
8;3,666666667;2,333333333;2,666666667
9;3,5;4,666666667;5,166666667
10;3,333333333;2,833333333;2,5
11;3,5;3,5;3
12;3,333333333;3,5;4,166666667
13;3;5,333333333;5,833333333
14;2,833333333;3,5;3,5
15;4;3,666666667;4,166666667
16;3;3;3,5
17;3,166666667;3,666666667;4,166666667
18;3,166666667;4;4
19;3,5;2,833333333;5,333333333
20;4,5;4,333333333;4,333333333
21;2,666666667;3,666666667;4,166666667
22;3,833333333;4,833333333;4
23;1;2,333333333;3,666666667
24;4;4,666666667;5,666666667
25;3;2,5;3,5
27;3,333333333;4,666666667;4,333333333
28;3,5;4,333333333;3,5
29;3,5;4,833333333;4,5
30;4;5,5;6
