strategy,model,feature_set,fold,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
loso,logreg,all,A01,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,logreg,all,A03,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,logreg,all,A04,142,3,0.0,0.0,0.0,0.0,0.0,0.0
loso,logreg,all,A05,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,logreg,all,A06,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,logreg,all,A07,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.5
loso,logreg,all,A08,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,logreg,all,A09,142,3,0.0,0.0,0.0,0.0,0.0,0.0
loso,logreg,all,A10,142,3,0.0,,0.0,0.0,0.0,
loso,logreg,all,A11,142,3,1.0,,0.0,0.0,0.0,
loso,logreg,all,A12,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,1.0
loso,logreg,all,A13,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,logreg,all,A14,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,logreg,all,A15,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.5
loso,logreg,all,A16,142,3,0.0,,0.0,0.0,0.0,
loso,logreg,all,A17,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,1.0
loso,logreg,all,A19,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5
loso,logreg,all,A20,142,3,0.6666666666666666,,1.0,0.6666666666666666,0.8,
loso,logreg,all,A21,142,3,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,1.0
loso,logreg,all,A22,142,3,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,0.5
loso,logreg,all,A23,142,3,0.0,,0.0,0.0,0.0,
loso,logreg,all,A24,142,3,0.0,,0.0,0.0,0.0,
loso,logreg,all,A25,142,3,1.0,,0.0,0.0,0.0,
loso,logreg,all,A27,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,1.0
loso,logreg,all,A28,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
loso,logreg,all,A30,142,3,0.0,,0.0,0.0,0.0,
loso,logreg,all,B01,141,4,0.25,0.25,0.3333333333333333,0.5,0.4,0.5
loso,logreg,all,B02,141,4,1.0,,1.0,1.0,1.0,
loso,logreg,all,B03,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,logreg,all,B06,141,4,0.5,,1.0,0.5,0.6666666666666666,
loso,logreg,all,B07,141,4,0.0,,0.0,0.0,0.0,
loso,logreg,all,B08,141,4,0.75,0.75,0.6666666666666666,1.0,0.8,0.5
loso,logreg,all,B09,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.6666666666666666
loso,logreg,all,B10,141,4,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
loso,logreg,all,B12,141,4,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
loso,logreg,all,B13,141,4,0.75,0.5,0.0,0.0,0.0,0.6666666666666667
loso,logreg,all,B14,141,4,0.75,0.75,1.0,0.5,0.6666666666666666,0.75
loso,logreg,all,B15,141,4,0.75,,1.0,0.75,0.8571428571428571,
loso,logreg,all,B16,141,4,0.5,,1.0,0.5,0.6666666666666666,
loso,logreg,all,B17,141,4,0.25,,0.0,0.0,0.0,
loso,logreg,all,B18,142,3,0.6666666666666666,,1.0,0.6666666666666666,0.8,
loso,logreg,all,B19,141,4,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333
loso,logreg,all,B20,141,4,0.75,0.8333333333333333,1.0,0.6666666666666666,0.8,0.6666666666666666
loso,rf,all,A01,142,3,0.0,,0.0,0.0,0.0,
loso,rf,all,A03,142,3,1.0,,0.0,0.0,0.0,
loso,rf,all,A04,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,rf,all,A05,142,3,1.0,,0.0,0.0,0.0,
loso,rf,all,A06,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,rf,all,A07,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,rf,all,A08,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,rf,all,A09,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,rf,all,A10,142,3,1.0,,0.0,0.0,0.0,
loso,rf,all,A11,142,3,1.0,,0.0,0.0,0.0,
loso,rf,all,A12,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,1.0
loso,rf,all,A13,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.5
loso,rf,all,A14,142,3,1.0,,0.0,0.0,0.0,
loso,rf,all,A15,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,rf,all,A16,142,3,0.0,,0.0,0.0,0.0,
loso,rf,all,A17,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,1.0
loso,rf,all,A19,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.5
loso,rf,all,A20,142,3,0.6666666666666666,,1.0,0.6666666666666666,0.8,
loso,rf,all,A21,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.25
loso,rf,all,A22,142,3,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,0.5
loso,rf,all,A23,142,3,1.0,,0.0,0.0,0.0,
loso,rf,all,A24,142,3,0.0,,0.0,0.0,0.0,
loso,rf,all,A25,142,3,1.0,,0.0,0.0,0.0,
loso,rf,all,A27,142,3,1.0,1.0,1.0,1.0,1.0,1.0
loso,rf,all,A28,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
loso,rf,all,A30,142,3,0.0,,0.0,0.0,0.0,
loso,rf,all,B01,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,rf,all,B02,141,4,1.0,,1.0,1.0,1.0,
