strategy,model,feature_set,folds,mean_n_test,accuracy,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,precision,precision_ci95_low,precision_ci95_high,recall,recall_ci95_low,recall_ci95_high,f1,f1_ci95_low,f1_ci95_high,roc_auc,roc_auc_ci95_low,roc_auc_ci95_high
losato,dummy,all,145,1.0,0.5310344827586206,0.44952528062150326,0.612543684895738,,,,0.5310344827586206,0.44952528062150326,0.612543684895738,0.5310344827586206,0.44952528062150326,0.612543684895738,0.5310344827586206,0.44952528062150326,0.612543684895738,,,
losato,gb,all,145,1.0,0.6275862068965518,0.5486230688507796,0.7065493449423239,,,,0.3586206896551724,0.2802867499875888,0.436954629322756,0.3586206896551724,0.2802867499875888,0.436954629322756,0.3586206896551724,0.2802867499875888,0.436954629322756,,,
losato,knn,all,145,1.0,0.6413793103448275,0.5630453706772439,0.7197132500124112,,,,0.3724137931034483,0.29345065505767615,0.45137693114922045,0.3724137931034483,0.29345065505767615,0.45137693114922045,0.3724137931034483,0.29345065505767615,0.45137693114922045,,,
losato,logreg,all,145,1.0,0.5724137931034483,0.49160814572058975,0.6532194404863069,,,,0.30344827586206896,0.22835624530460238,0.3785403064195355,0.30344827586206896,0.22835624530460238,0.3785403064195355,0.30344827586206896,0.22835624530460238,0.3785403064195355,,,
losato,nb,all,145,1.0,0.5655172413793104,0.48455472014002265,0.6464797626185981,,,,0.15862068965517243,0.09895142903270784,0.218289950277637,0.15862068965517243,0.09895142903270784,0.218289950277637,0.15862068965517243,0.09895142903270784,0.218289950277637,,,
losato,rf,all,145,1.0,0.6482758620689655,0.5702828239740161,0.7262689001639149,,,,0.38620689655172413,0.3066833317571111,0.46573046134633717,0.38620689655172413,0.3066833317571111,0.46573046134633717,0.38620689655172413,0.3066833317571111,0.46573046134633717,,,
losato,svm,all,145,1.0,0.6689655172413793,0.5921032291170237,0.7458278053657349,,,,0.3448275862068966,0.2671932886376528,0.42246188377614036,0.3448275862068966,0.2671932886376528,0.42246188377614036,0.3448275862068966,0.2671932886376528,0.42246188377614036,,,
loso,dummy,all,43,3.372093023255814,0.5116279069767442,0.40122366244917657,0.6220321515043118,0.5,0.5,0.5,0.5116279069767442,0.40122366244917657,0.6220321515043118,0.7441860465116279,0.6122284786666733,0.8761436143565825,0.5872646733111849,0.47287554662797626,0.7016537999943936,0.5,0.5,0.5
loso,gb,all,43,3.372093023255814,0.5155038759689922,0.43178191693617085,0.5992258350018135,0.5072463768115941,0.46501595227246967,0.5494768013507187,0.3720930232558139,0.24691970631773458,0.4972663401938932,0.4011627906976744,0.26843946252196627,0.5338861188733826,0.3598006644518272,0.24396983849616016,0.4756314904074942,0.5869565217391304,0.4225042622669942,0.7514087812112668
loso,knn,all,43,3.372093023255814,0.5852713178294573,0.49343273737284943,0.6771098982860652,0.5434782608695652,0.43782080976688204,0.6491357119722483,0.4418604651162791,0.3127158383006875,0.5710050919318707,0.46899224806201545,0.3339773425958597,0.6040071535281712,0.4191583610188261,0.3016243290836418,0.5366923929540104,0.5634057971014492,0.42953144897711526,0.6972801452257834
loso,logreg,all,43,3.372093023255814,0.46511627906976744,0.37642895878778265,0.5538035993517523,0.4963768115942029,0.40895527280958405,0.5837983503788218,0.3585271317829457,0.23099389816306365,0.48606036540282777,0.34689922480620156,0.22512576993018535,0.46867267968221776,0.3243632336655593,0.21511574325132055,0.43361072407979806,0.5905797101449276,0.45871090591911806,0.7224485143707369
loso,nb,all,43,3.372093023255814,0.5135658914728682,0.40874165904379345,0.618390123901943,0.5217391304347825,0.45825793679054555,0.5852203240790195,0.21511627906976744,0.10146163216390845,0.3287709259756264,0.18023255813953487,0.07972477339236234,0.2807403428867074,0.17131782945736432,0.0820559953986241,0.2605796635161045,0.4746376811594203,0.3267420466371773,0.6225333156816633
loso,rf,all,43,3.372093023255814,0.6104651162790697,0.5094017437838846,0.7115284887742549,0.5471014492753623,0.4799015283586165,0.6143013701921082,0.3527131782945736,0.22410700073955028,0.48131935584959695,0.38953488372093026,0.2502444216549772,0.5288253457868833,0.3507198228128461,0.2257560934437485,0.4756835521819437,0.6159420289855072,0.4613177088526631,0.7705663491183513
loso,svm,all,43,3.372093023255814,0.6356589147286822,0.537818329686864,0.7334994997705003,0.5108695652173914,0.4456781342841396,0.5760609961506431,0.3372093023255814,0.2131496883763498,0.461268916274813,0.4263565891472868,0.27837714872134545,0.5743360295732282,0.36090808416389814,0.2328885493186055,0.4889276190091908,0.6231884057971014,0.463488309989065,0.7828885016051379
loto,dummy,all,7,20.714285714285715,0.4736586942469295,0.3124950650082182,0.6348223234856408,0.5,0.5,0.5,0.4484486102133161,0.2534892062110222,0.64340801421561,0.8571428571428571,0.5771428571428571,1.137142857142857,0.5733282882297661,0.3517946813251187,0.7948618951344135,0.5,0.5,0.5
loto,gb,all,7,20.714285714285715,0.6468164188752423,0.5916936648236106,0.701939172926874,0.6037369376655092,0.5038296483770075,0.7036442269540109,0.6679138321995464,0.5261578255116506,0.8096698388874422,0.6949280877852306,0.5525236577154564,0.8373325178550048,0.6591819039024008,0.559494533133294,0.7588692746715077,0.6436539040934646,0.5604022753250716,0.7269055328618576
loto,knn,all,7,20.714285714285715,0.6624111182934712,0.5685280315622162,0.7562942050247262,0.5716141001855287,0.5023653349209826,0.6408628654500749,0.6122602887308769,0.4627400204949257,0.7617805569668281,0.7095285666714238,0.46150187419624444,0.9575552591466032,0.6380491761335173,0.45356416092609714,0.8225341913409374,0.6542061113489684,0.5561191277444638,0.7522930949534731
